标题,标题链接,头像,字段1,xi2,num,字段2,字段3,new
毕业 7年， 有些感慨,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773474&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-8-22,37,1661,长长久久123,5?小时前,
扩招得有点厉害了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773026&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-7-28,5,1034,长长久久123,5?小时前,
【2014年级经管】张志平同学你证件丢了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1772979&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-7-24,4,821,长长久久123,5?小时前,
学车考驾照，千万不要到安顺驾校孔万兴那学车。,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1772947&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-7-22,11,1156,长长久久123,5?小时前,
老人家来问问,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1772426&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/rewardsmall.gif,2018-6-13,10,1372,长长久久123,5?小时前,
科技处的网页在校外访问打不开不知什么原因？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1772165&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-5-21,3,969,长长久久123,5?小时前,
毕业师兄打算转租房子，回来发现二手市场合租宝都打不开，什么情况？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1772140&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-5-18,8,2638,长长久久123,5?小时前,
寻找4月21日照毕业照那个的小姐姐,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771777&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-22,8,1816,长长久久123,5?小时前,
二战考研求合租，找研友,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771767&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-20,2,1387,长长久久123,5?小时前,
校外网怎么访问华农的FTP？？？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771627&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-12,7,2911,长长久久123,5?小时前,
怎么发表论文？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771580&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-10,2,1130,长长久久123,5?小时前,
求问 毕业后打印本科成绩单,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771561&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/rewardsmall.gif,2018-4-9,8,3736,长长久久123,5?小时前,
招新|红满堂工作室技术部,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771554&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-8,7,2114,长长久久123,5?小时前,
华农离我很近又很远,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771526&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-6,22,2210,长长久久123,5?小时前,
论文查重推荐,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777051&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-9,3,135,长长久久123,5?小时前,
紫荆花开了没？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777149&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-16,7,169,长长久久123,5?小时前,
五山地铁附近单间出租,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773473&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-8-22,3,566,长长久久123,5?小时前,
珍惜这四年的大学生涯，好好利用学生证,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771251&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-3-18,15,1904,长长久久123,5?小时前,
好久不见,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777646&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-20,2,114,长长久久123,5?小时前,
免费的论文查重网站,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777974&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-21,2,92,长长久久123,5?小时前,
期刊目录查询EI期刊多久后检索SCI发表途径论文论著,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777991&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-21,1,91,长长久久123,5?小时前,
华农首个夸夸群等待大家加入～,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777153&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-17,4,159,长长久久123,5?小时前,
花还在吗，人还多吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771247&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-3-18,17,1512,长长久久123,5?小时前,
免费论文查重网站,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777998&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-22,1,94,长长久久123,5?小时前,
2019理工科EI期刊哪个刊物好发录取率高检索快,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778005&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-22,1,106,长长久久123,5?小时前,
买书,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777110&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-14,2,109,长长久久123,5?小时前,
感觉好冷清啊！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776011&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-1-9,12,490,长长久久123,5?小时前,
华农网管太保守，同城中大够大气,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778183&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-25,1,124,长长久久123,5?小时前,
机械类文章投EI期刊或者SCI期刊怎么投录用率比较高,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778373&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-27,1,77,长长久久123,5?小时前,
在美国的华农人的故事,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778452&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-27,1,113,长长久久123,5?小时前,
毕业7年，回来看看,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771236&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-3-16,40,2926,长长久久123,5?小时前,
[华农图集] 好看的独特风格的华农校园明信片，走过路过不要错过~！！！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778516&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-28,4,108,长长久久123,5?小时前,
毕业两年多，想跟校友们交流一下工作学习生活,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1775731&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-12-15,28,883,长长久久123,5?小时前,
EI期刊SCI期刊怎么发表，发表流程是什么,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778619&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,5?天前,1,105,长长久久123,5?小时前,
2019理工类EI期刊快速出版快速检索JA检索正规刊物,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778632&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,4?天前,4,67,长长久久123,5?小时前,
大二体检没完成怎么办,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1778025&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-23,7,116,长长久久123,5?小时前,
同学，华农还有花开吗？樱花呢？谢谢回复,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771842&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-4-27,15,1537,长长久久123,5?小时前,
推荐大家一个靠谱的论文检测平台。,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777982&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-21,3,101,长长久久123,5?小时前,
从华农毕业两年，我都做了些什么,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773505&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-8-24,14,1020,长长久久123,5?小时前,
不靠家里，工作五年能赚一百万吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1761033&extra=page%3D1,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-6-9,63,7747,长长久久123,5?小时前,
请问……现在的小朋友，都是在哪里看招聘信息的,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1775990&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-1-7,11,423,长长久久123,5?小时前,
华农刘诗诗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1760136&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-5-9,16,3537,长长久久123,5?小时前,
华农那个零点手绘还在吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774407&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-10-15,1,365,argang2008,,
国际预科丨众多一线导师加持——通向美国名校研究生之路,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774421&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-10-16,2,335,timingcen,,
有想学雅思托福的师弟师妹吗:),http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774461&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-10-19,2,375,joe7026,,
【喜讯】华南农大兰玉彬教授当选欧洲科学、艺术与人文学院院士,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774508&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-10-23,1,420,ooooyz,,
求问往年课程的课程代码！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774548&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-10-25,3,283,caijl,,
居然能把ID找回来，发个帖庆祝一下,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774630&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-11-3,9,456,ljr24,,
毕业后师兄想问一下：报到证毕业后到哪里改派呢？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774634&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-11-4,1,225,浪污痕,,
有小同学知道今年元旦的新年音乐会吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774825&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-11-27,11,482,vivianxi,,
华农有跑步协会的吗？可以加入清远马拉松高校比赛吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1775755&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-12-20,1,252,huananxue,,
你好，再见,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776254&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-1-11,3,242,timingcen,,
考研狗求指教  求求食品学院研究生前辈们看过来,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776569&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-2-16,1,152,joe7026,,
上周开工拍的花,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776583&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-2-18,8,239,ooooyz,,
帮证件照 换上正装,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776629&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-2-25,1,133,caijl,,
想到母校红满堂PT站，回来看了一眼、发现好像没用了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776695&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-2,3,131,ljr24,,
校园里超速会怎么样？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776767&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-5,3,139,浪污痕,,
请问华农有没有植物园？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765522&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-4,25,4121,wj静静,,
求购几本二手书，有要卖书的点开看看吧,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=546704&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2014-3-4,9,678,kk9529,,
免费的论文查重网站,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771167&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-3-11,3,1505,麻花影视,,
收藏！最完整的学校地图及分区名称,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=587656&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2014-10-4,7,2091,zjk115118,,
毕业老人五一逛了一圈华农 学校现在好冷清 红满堂也如是,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1759911&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-5-2,26,3815,maxwellyingyu,,
HMT Bus GO! （华农校巴查询程序）（2017-05-05 更新）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1759255&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-4-11,10,2162,Scau-Farmer,,
重磅！10级师兄回来送书！！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1767659&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-12-15,4,1759,黑冷,,
参加数学建模比赛的师弟师妹们请进来看看！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774402&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-10-15,2,2110,Asha,,
欲哭无泪,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1762171&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-8-6,18,2444,asdlzhao,,
十年前的留下的东西居然依然在校园某个角落,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766434&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-11-5,17,3934,asdlzhao,,
华农那些事你知多少？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1767657&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-12-15,20,2883,asdlzhao,,
[CC出品]【原创】紫荆蓝天,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=19044&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2007-11-20,94,10714,asdlzhao,,
华南农业大学首届信息安全技术挑战赛通知,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1774073&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-10-6,3,309,bodermedia,,
终于找到了校园网取消无感认证的链接啦~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771073&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-3-5,12,6424,met,,
祝福华南农大108岁生日~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766634&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-11-10,25,3043,马岗顶小霸王,,
现在还有多少热起床就刷微博的？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765900&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-19,24,2754,兽医娃,,
历史是相似的！华农没评上双一流！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765982&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-21,38,7387,独孤邪炫,,
请问学校紫荆花现在开始开花没有....,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1770968&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-2-27,17,3076,独孤邪炫,,
喜讯！华南农业大学入选2018年国家“111计划”,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773360&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-8-8,8,1158,独孤邪炫,,
国庆有顺风车吗？？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1773754&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-9-11,0,313,vegetarianGCC,,
求BEC 高级口语partner一名~~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1770917&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-2-21,4,1672,Enrid,,
4月台湾游求旅伴,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771148&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-3-9,4,1593,szkjcc,,
二手市场不能用了吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1767608&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-12-12,2,1838,18896951607,,
求助！有兽医类课题合作的吗?评高级职称用,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1768325&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-1-16,1,1550,cy6483289,,
华山泳池开放时间,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765626&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-8,3,1834,一方秋意,,
【通知】 15、16级学生将在本月进行体检,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771124&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-3-8,1,1439,圆碌碌哒汤圆节,,
华农校歌是什么？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=109403&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2009-10-19,29,9159,yuki416,,
请去过今年越秀灯会的朋友们帮忙！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1771047&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-3-3,1,1191,125315338,,
代养宠物,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1770810&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-2-1,0,1685,mhm,,
求经管院在读师弟师妹帮忙，毕业师姐SOS~~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766383&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-11-2,4,1797,zhiyadai,,
有红包感谢！狗狗哮喘，求知情人推荐一个好一点的动物医院医生,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1768334&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2018-1-17,2,1286,洛阳神小龟龟,,
请问学校现在能够停车一整晚吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1760358&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-5-16,9,3562,yeshengxiaojizh,,
【通知】 泰山部分区域又停水停电了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766335&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-10-19,3,1474,yeshengxiaojizh,,
今年六月份考六级，教五八楼，靠左边的那排教室都有哪些考场呀？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1762539&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-8-23,2,1476,lovefchong,,
华农酸奶可以在哪里这么拿货呢?,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1767681&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-12-18,14,3098,5399游戏,,
华农师姐找合作室内设计师,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1767602&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-12-11,0,1088,末~,,
毕业师兄半夜聊人生（让师弟师妹们参考参考）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1177353&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-2-16,47,8792,小屁孩lovecg,,
华农的紫荆桥，四年，写了四遍,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766733&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-11-10,21,2847,qq003,,
【通知】 华山、东区、六一区运动场封闭和东区游泳池早场停止,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766902&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-11-29,4,992,圆碌碌哒汤圆节,,
有在珠海金湾区高栏港工作的校友吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765846&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-17,6,1042,SCAUSLZY,,
华南农业大学 青马班招新 试题 答案,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766329&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-10-19,0,1835,jasonguo郭杰,,
有没有使用Go购家园的朋友,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766317&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-10-15,2,765,pake,,
【通知】 迎新晚会来了！本周五晚！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766176&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-28,5,897,ChenJY2163,,
【通知】 国庆期间学校各项安排，留校同学注意了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766131&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-26,4,1027,圆碌碌哒汤圆节,,
《筑视华农》校园明信片——不一样的视角带你追忆华农,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766144&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-27,4,1023,jiusZX,,
【通知】 2017年体测又来啦！大一、大二的同学都要参加！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1766052&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-24,2,1224,圆碌碌哒汤圆节,,
2017年中秋节、国庆节放假通知,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765893&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-19,3,1025,圆碌碌哒汤圆节,,
毕业啦毕业啦,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1761589&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-7-2,10,1656,VincentChow,,
计算机类专业怎么读,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765824&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-16,0,1008,tenghui0425,,
华农里面的福华驾校怎么样？或者较靠谱的驾校推荐,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765699&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-12,0,891,Azure蓝,,
二战招募研友,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765534&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-4,5,897,1285447275,,
校园卡转让或租赁,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1765545&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-5,0,1048,华丽转身,,
有无考广州事业单位的，组个队呗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1759715&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-4-25,7,1848,华丽转身,,
分享TT,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1762696&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-9-1,0,664,曾海波,,
这图怎样——致青春（老人）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1762669&extra=page%3D3,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2017-8-30,0,706,曾海波,,
